date,total,N501Y
2021-01-14,190,10
2021-01-21,154,14
2021-01-28,167,17
2021-02-01,21,4
2021-02-02,11,5
2021-02-03,20,7
2021-02-04,12,1
2021-02-05,17,6
2021-02-06,10,6
2021-02-07,11,5
2021-02-08,22,5
2021-02-09,8,1
2021-02-10,8,2
2021-02-11,17,3
2021-02-12,7,0
2021-02-13,14,8
2021-02-14,8,2
2021-02-15,9,6
2021-02-16,8,2
2021-02-17,12,4
2021-02-18,14,3
2021-02-19,8,4
2021-02-20,7,3
2021-02-21,5,3
2021-02-22,11,4
2021-02-23,14,8
2021-02-24,15,11
2021-02-25,8,5
2021-02-26,16,6
2021-02-27,17,13
2021-02-28,6,3
2021-03-01,18,15
2021-03-02,10,7
2021-03-03,6,5
