date,total,N501Y
2020-11-02,3,0
2020-11-03,3,0
2020-11-04,3,0
2020-11-06,2,0
2020-11-09,1,0
2020-11-16,1,0
2020-11-17,4,0
2020-11-23,2,0
2020-11-30,1,0
2020-12-10,1,0
2020-12-15,1,0
2020-12-18,1,0
2020-12-22,1,1
2020-12-26,1,0
2020-12-27,2,0
2020-12-31,1,0
2021-01-13,33,6
2021-01-14,41,4
2021-01-15,62,12
2021-01-16,42,10
2021-01-17,33,7
2021-01-18,56,14
2021-01-19,46,10
2021-01-20,42,8
2021-01-21,36,6
2021-01-22,38,11
2021-01-23,35,9
2021-01-24,49,16
2021-01-25,56,15
2021-01-26,34,14
2021-01-27,46,22
2021-01-28,46,22
2021-01-29,40,20
2021-01-30,54,29
2021-01-31,43,25
2021-02-01,46,23
2021-02-02,39,24
2021-02-03,28,24
2021-02-04,49,26
2021-02-05,42,23
2021-02-06,43,31
2021-02-07,27,17
2021-02-08,38,26
2021-02-09,33,24
2021-02-10,29,23
