date,total,N501Y
2020-12-17,1,0
2020-12-21,1,0
2020-12-24,1,0
2021-01-06,7,0
2021-01-07,28,1
2021-01-08,57,1
2021-01-09,25,0
2021-01-10,41,2
2021-01-11,38,1
2021-01-12,42,0
2021-01-13,51,1
2021-01-14,34,3
2021-01-15,45,6
2021-01-16,32,0
2021-01-17,39,4
2021-01-18,49,0
2021-01-19,44,4
2021-01-20,54,5
2021-01-21,52,11
2021-01-22,49,7
2021-01-23,26,5
2021-01-24,32,4
2021-01-25,62,9
2021-01-26,46,5
2021-01-27,42,8
2021-01-28,28,4
2021-01-29,32,3
2021-01-30,23,6
2021-01-31,25,8
2021-02-01,39,9
2021-02-02,42,12
2021-02-03,31,9
2021-02-04,28,8
2021-02-05,31,12
2021-02-06,29,11
2021-02-07,51,22
2021-02-08,31,14
2021-02-09,27,6
2021-02-10,18,8
